StudentID,GPA,major_avg,AttendancePercent,FailedCourses,num_skills,num_courses_completed,project_count,internship_count,num_missing_skills,top_missing_priority,emb_pca_0,emb_pca_1,emb_pca_2,emb_pca_3,emb_pca_4,emb_pca_5,emb_pca_6,emb_pca_7,emb_pca_8,emb_pca_9,emb_pca_10,emb_pca_11,emb_pca_12,emb_pca_13,emb_pca_14,emb_pca_15,emb_pca_16,emb_pca_17,emb_pca_18,emb_pca_19,emb_pca_20,emb_pca_21,emb_pca_22,emb_pca_23,emb_pca_24,emb_pca_25,emb_pca_26,emb_pca_27,emb_pca_28,emb_pca_29,emb_pca_30,emb_pca_31
S0011,3.31,3.31,71,1,1,1,1,1,5,2.0,0.051400866,-0.10321618,0.2525381,0.058440313,-0.108681686,0.06153206,-0.07091555,-0.2179034,-0.001263245,-0.020537756,-0.01697322,-0.024360975,0.021554194,0.013226667,0.025489777,0.014061036,-0.0003078775,0.027432159,0.039529976,-0.050011322,-0.034848645,-0.021974346,-0.011365381,0.009744074,0.035068497,-0.013101971,0.024837838,-0.015657771,0.025259731,0.018481841,-0.039851967,-0.0010522911
S0012,3.32,3.32,83,2,1,1,1,1,5,2.0,-0.10746459,-0.1396436,-0.18806429,-0.1695557,-0.13677227,-0.027450442,-0.15181835,0.1514534,0.09385872,-0.038181648,0.006041704,0.028558318,-0.017898265,0.06711028,-0.0024216431,0.037476324,-0.06259955,0.010251072,-0.021001762,0.07190699,-0.008225565,0.02164581,0.0662728,-0.037077926,-0.023908926,-0.0026975537,0.005121427,-0.03353286,-0.014950153,-0.012010038,0.009672796,-0.024964755
S0013,3.62,3.62,95,1,1,1,1,1,5,2.0,0.0669508,-0.20318365,-0.11242176,0.05073054,0.2841355,-0.13873279,0.17018734,0.004773866,-0.0484816,-0.047463723,-0.039449956,-0.11147563,-0.020549452,-0.05429711,0.069853276,0.05492391,-0.062354572,-0.0032473472,0.027427005,0.009294498,0.050006032,0.010773918,0.060617324,0.044115216,0.009954806,-0.012912648,-0.06475361,0.035245005,0.05504282,0.009370389,-0.039414063,-0.030749047
S0014,4.0,4.0,81,0,1,1,1,1,5,2.0,0.15913066,0.36131883,0.029551249,-0.1254823,-0.08591254,-0.062286634,0.028429402,-0.064692296,0.016203322,0.0476106,0.027716726,-0.0709342,0.042512443,-0.017030476,0.044388495,0.03146102,-0.112529784,-0.016016569,-0.03657028,-0.0019796651,-0.028335368,-0.013791003,-0.036289077,0.018513177,-0.047152072,-0.047340553,-0.00023525814,0.05503044,-0.04951452,-0.053200785,-0.020652859,-6.4145745e-05
S0015,2.88,2.88,85,1,1,1,1,1,5,2.0,0.01086745,-0.1757622,0.2534151,-0.16401462,-0.023153933,0.0009682492,0.025366088,-0.014070675,0.05489067,-0.021758193,-0.020960772,0.0013935149,0.009166537,0.09751792,0.010451271,0.023506625,0.0152264545,-0.00993863,0.04087907,0.031158894,0.06906351,0.029853793,-0.023025295,0.034970433,0.037930988,-0.083809994,-0.019139707,0.0072154556,-0.04133819,-0.014164292,-0.019546712,-0.029578226
S0016,3.17,3.17,93,2,1,1,1,1,5,2.0,-0.17035145,0.060643002,-0.057512067,0.074617565,-0.24695493,0.038001683,-0.030116558,0.09700947,-0.03601321,0.084222145,-0.020204024,0.06421546,0.09408246,-0.038922664,-0.05955846,0.049502313,0.021961987,-0.06642261,-0.0030273376,0.03378562,0.018056873,-0.0045121107,0.0106545165,-0.00046563885,-0.043051973,0.09246488,-0.0032693022,0.003927223,0.049605962,0.0125001455,-0.01651352,0.024144989
S0017,3.34,3.34,92,2,1,2,1,1,5,2.0,-0.2202453,0.032066856,-0.0062518963,0.0047842367,0.10759743,-0.21328457,-0.0042986777,-0.13750294,-0.020806704,-0.055668186,-0.024259621,0.07906537,0.07239692,-0.0075913738,0.06945215,0.04547706,0.044506826,0.003384128,0.07142522,0.010978822,-0.04071027,-0.04399368,-0.04224743,-0.0075535807,-0.04675446,-0.06042083,-0.030729212,-0.0023302594,-0.021939473,0.0046200664,0.06637467,-0.031346656
S0018,3.81,3.81,92,0,1,1,1,1,5,2.0,0.13899584,0.118504226,0.046898685,0.12344506,-0.008430012,-0.08541214,-0.012690302,0.058767784,-0.15720958,-0.027044274,-0.040808413,0.03090603,-0.11455994,0.045897648,-0.005201458,0.027662596,0.0019989389,0.0054416577,0.042782772,0.0147099355,-0.029139753,0.020603178,0.0021440757,-0.008294388,0.05386061,-0.05112334,-0.031763863,0.02811168,-0.04890594,-0.023275204,-0.0133904945,-0.0099487025
S0019,3.43,3.43,75,3,1,1,1,1,4,2.5,0.21050504,-0.19550318,0.17019233,0.15915072,-0.09339099,0.041136403,-0.098231636,-0.16065718,0.00632731,0.056421284,0.074219294,-0.023756526,0.026534852,0.021398077,0.03236214,0.09329867,0.089408204,-0.08025405,-0.07774553,-0.0066491165,-0.023311349,0.045195386,0.01335996,-0.08128722,0.037519928,-0.05127271,0.021398315,0.01126549,0.05555935,-0.01850178,-0.025883503,0.024934502
S0020,3.2,3.2,83,2,1,1,1,1,5,2.0,0.07156338,-0.19877176,-0.18848124,0.2624099,-0.09384358,0.18773596,-0.038522836,-0.063704774,-0.016913947,0.0018088142,0.024377257,0.07238986,-0.060350742,-0.07536821,-0.010780706,0.028602596,0.06874694,0.041521087,0.009638092,0.026370825,0.02866207,0.017091297,0.006548512,-0.027083956,-0.002993628,0.012567055,0.052126188,-0.0249801,-0.00978639,-0.0004391157,-0.005450707,0.050523423
S0021,3.51,3.51,88,0,1,1,1,1,5,2.0,-0.28966695,0.011977617,0.08578137,0.12105246,0.0028688684,-0.06108197,0.016011026,0.05332528,0.05508175,0.014413648,0.08632275,-0.029099248,0.05939958,0.027633004,-0.056600902,0.028578019,0.042629827,0.0042230124,-0.02029656,0.024861153,0.050916053,0.08648418,-0.082745366,-0.092020154,0.00248604,-0.00480574,0.01942926,-0.029880164,-0.074862525,0.017135538,0.0013362606,-0.016550953
S0022,3.91,3.91,82,0,1,1,1,1,5,2.0,0.23670101,0.22513068,-0.024881912,-0.10530253,0.010391744,0.009785991,0.031012177,0.113945656,0.03567767,-0.07902326,-0.06374764,-0.17200774,-0.005437684,-0.002798202,0.08166433,-0.026336174,0.003791087,-0.08484663,0.032928407,0.05737262,0.017752748,0.07097344,0.042083383,0.019333854,0.007040286,0.053746637,-0.01480563,-0.019575344,-0.018204074,0.031735506,0.03532456,0.026915533
S0023,3.41,3.41,76,3,1,1,1,1,5,2.0,0.23623157,-0.20669036,0.15813777,0.1920482,-0.03358148,-0.019759264,0.026717193,0.055251528,0.08100966,0.023725238,0.021717846,0.05088764,0.10093866,-0.1057529,-0.16592366,-0.020701302,-0.018302266,0.025664404,0.038805537,-0.020177938,-0.06343725,-0.019698478,0.019387465,-0.046041697,-0.046697028,0.028277267,-0.053896386,-0.0125438,0.102513686,-0.011328305,0.0100425,0.0026464625
S0024,3.18,3.18,88,0,2,1,1,1,5,2.0,-0.19200835,0.00047446182,-0.31821412,-0.11805161,-0.023571245,0.14876904,-0.12480138,-0.09229353,-0.042155568,0.051777378,-0.0017350805,-0.011150481,0.077323385,0.070030235,-0.07278013,0.03468068,0.023307646,0.07775963,0.00548818,-0.0071296515,-0.005583722,0.0077919723,-0.016218208,0.0085632885,0.03473511,-0.048315838,0.0046134423,0.020079453,0.013152766,0.022446318,0.006990343,0.018348677
S0025,3.15,3.15,97,1,1,2,1,1,5,2.0,-0.21649194,0.069573365,-0.09369807,-0.09312651,0.26246446,0.07044901,-0.023455383,-0.017013084,-0.039599426,0.01564121,-0.008379621,-0.011448234,0.015748708,0.043676477,0.075373806,-0.061431933,-0.013429089,-0.026624804,-0.057095442,0.10916003,-0.015607544,0.054635696,-0.022270462,-0.025365831,0.065218456,0.0012806922,0.02623892,-0.03360885,0.03156382,0.031459425,0.013834822,0.0036872618
S0026,3.81,3.81,96,1,1,1,1,1,4,2.5,0.27834147,0.21030657,-0.05691387,-0.08390285,0.045364283,0.06771089,-0.04957215,-0.17436986,-0.10019325,0.019766768,-0.04706883,0.04210844,-0.04518157,-0.070346855,0.039230853,-0.022798382,-0.04045513,-0.034151945,0.051973198,0.09035729,-0.014046853,-0.050016355,-0.07312138,-0.0008961965,-0.024621964,-0.029079355,-0.015438735,0.024462357,-0.0008892499,-0.0051615546,0.0019295558,0.017848078
S0027,2.94,2.94,73,3,1,1,1,1,4,2.5,0.050353114,0.06433726,0.20414943,-0.09990506,0.0942384,0.22019452,0.009471122,0.044212043,0.028801221,-0.058999084,9.4853094e-05,0.06343598,0.044612385,-0.09453667,-0.15545064,0.050338008,0.11654114,0.046966486,0.059419423,0.014427806,0.006565758,-0.085601404,-0.003430723,0.041883204,0.032579366,-0.04135767,-0.038467407,0.031544283,-0.0672816,-0.02732186,-0.02661028,0.0516725
S0028,3.55,3.55,89,2,1,1,1,1,5,2.0,-0.2654561,0.07008466,-0.109585606,0.07289072,-0.22777627,-0.018797535,-0.000849365,-0.012379355,0.012062856,0.01265234,-0.06761148,-0.10596074,-0.018143265,0.08061728,-0.030290615,0.063472286,-0.07705944,0.054677673,0.059590988,0.001647349,-0.004655037,0.0074508595,0.032152366,0.009782659,0.0011380997,-0.014659039,0.004094916,-0.008627411,-0.021067755,0.0053150635,-0.044471774,0.0003780931
S0029,3.13,3.13,89,1,1,1,1,1,5,2.0,-0.23521289,0.038495757,0.049223233,0.18093058,0.027435308,-0.055198498,-0.026493868,0.12995599,0.088856824,0.02633294,-0.038882088,-0.015221686,0.037565544,0.008294924,-0.0069451416,-0.018355602,-0.09719239,-0.10357799,-0.0058905063,0.043176528,0.0077545852,-0.00063034304,-0.03561073,-0.01694485,0.037610233,0.01237822,0.014160579,0.01716559,0.010492983,0.00988225,-0.022939067,0.021488648
S0030,3.73,3.73,89,1,1,1,1,1,4,2.5,0.4529849,0.12267716,-0.1829104,0.050188493,0.085872106,0.04315303,0.021491049,-0.15585546,0.09560009,0.011859752,-0.0119583355,-0.004824598,-0.023346698,0.031186549,0.019992426,-0.06920426,0.039707724,0.025222111,-0.026103668,-0.053550463,0.008192312,0.0030692373,0.004901668,0.029682636,-0.005712652,0.0033875778,-0.009455414,-0.005386159,0.02449057,0.037165266,0.037443567,-0.068465225
S0031,2.6,2.6,78,3,1,1,1,1,5,2.0,-0.13513604,0.008838594,0.33851013,-0.25166622,-0.015982598,0.10411245,0.028972043,0.065381005,0.03919928,0.0076719914,-0.024233814,0.062868066,-0.038719445,0.037632745,-0.020160219,0.049707316,0.16273843,-0.03918213,-0.012794369,0.003110207,-0.023384465,0.073650286,-0.009518084,0.0076108435,-0.05465971,-0.011152665,0.005784079,-0.0125530455,-0.023142327,0.0064476356,-0.0037186423,-0.0010848334
S0032,3.45,3.45,84,2,2,1,1,1,5,2.0,-0.2643348,0.046736598,-0.16884235,-0.2365676,-0.06440939,-0.050524034,-0.023045927,0.05459817,-0.17306706,0.074473895,0.006587779,-0.011744896,-0.06477627,0.0252305,-0.09058564,0.078792036,-0.05704563,0.07961044,-0.046642818,-0.039911762,-0.027121851,0.068410784,-0.051645335,-0.039185166,0.06493765,-0.034178432,0.041920956,0.10518278,0.026314585,0.00045681486,0.055589262,-0.0107180765
S0033,3.19,3.19,86,2,1,1,1,1,5,2.0,-0.21957807,-0.123337336,-0.06653076,0.1654849,0.07285131,-0.13097909,-0.120277956,0.07380963,-0.06410032,0.031959955,-0.087177455,0.1002177,-0.019729638,0.106818825,0.01950028,-0.01821108,0.01141289,-0.07851483,-0.044377796,-0.008953132,0.075415224,-0.0015018516,-0.017680258,-0.030617727,-0.02155627,-0.04807663,-0.0025174986,0.022209192,0.057488106,-0.03513931,0.047159877,0.04659782
S0034,3.71,3.71,89,0,1,1,1,1,5,2.0,0.017425759,0.22254148,-0.09422755,0.21646239,0.072518565,0.06238455,-0.0019120442,-0.017479096,0.022064922,0.009995983,-0.047772713,0.040771496,-0.04595987,0.11406461,-0.068254896,0.010357204,-0.0034928306,-0.007974235,0.055994295,-0.004711669,-0.013877587,0.036449715,-0.060488824,-0.027325192,-0.008750128,-0.00022440817,-0.020328173,0.0016954681,0.01785659,0.03912314,-0.013372546,0.04646598
S0035,3.07,3.07,86,2,1,1,1,1,4,2.5,0.03470032,-0.091844365,0.23642789,0.107184686,-0.037825987,0.05267645,-0.024546426,0.010122798,-0.12662317,-0.070468344,0.0918772,-0.029884858,0.04267976,-0.02892778,-0.060836893,0.037287258,-0.018754447,-0.027014017,-0.003670057,-0.027092144,0.053423505,-0.009902026,-0.021627747,-0.014810474,0.0762026,-0.012625565,0.009062867,0.044166964,0.03062554,0.022474227,-0.007626707,0.00054780225
S0036,3.2,3.2,84,0,1,1,1,1,5,2.0,-0.08634762,-0.06513001,-0.33569133,-0.07907198,0.0005687471,0.15541124,-0.21925204,0.058542207,0.033079978,-0.03300448,-0.06669749,-0.034442797,-0.034404624,-0.008848839,-0.027707366,0.07270253,0.0046804873,0.023297405,-0.018961422,-0.019044144,0.033627544,0.04654189,0.030014478,-0.03803424,-0.015434668,-0.05871342,-0.027275043,-0.0030412143,0.034072082,-0.020638961,0.038511243,-0.024593947
S0037,3.44,3.44,90,2,1,3,1,1,5,2.0,-0.299359,0.0041305944,0.1341442,0.08855934,0.032107495,-0.08283357,-0.028421363,-0.024389967,-0.022141106,0.06662421,-0.042789295,0.03771098,-0.025545314,0.05501243,0.026217233,0.08766411,0.057015497,-0.011330438,-0.10628991,0.067123294,-0.0004960264,0.05657064,-0.0035466864,0.06454009,0.0065545067,0.03585052,-0.00057076546,0.10609467,-0.059604567,0.010562047,0.058110896,0.017851003
S0038,3.69,3.69,85,0,1,1,1,1,5,2.0,0.08312139,0.2751359,0.17434114,0.022938142,-0.21296842,-0.041439407,0.09913301,-0.086335376,-0.086126104,-0.051850144,-0.030609757,0.012096775,0.018261855,-0.06590437,0.08671628,0.033688203,0.063250124,-0.037909474,0.012587504,0.076937586,-0.0052385326,0.105209716,0.01072094,0.022298045,-0.005810802,0.024768565,0.01695703,0.048133034,0.049516648,-0.023163011,0.04851288,0.022941332
S0039,3.54,3.54,82,2,1,1,1,1,4,2.5,0.02410406,-0.113568805,0.2748539,0.053967737,-0.07431588,-0.017099585,0.015453592,-0.03342029,0.00047474692,0.05524131,0.020713829,0.023707649,-0.07225937,0.031141913,-0.06334702,-0.03567595,-0.10810662,0.06799138,-0.016360566,-0.038211778,-0.008457163,-0.052409545,0.035415668,-0.0005023989,0.028975176,0.030808223,-0.049899835,0.04055377,0.03659749,-0.01738226,0.035136715,0.024991326
S0040,3.92,3.92,81,2,2,1,1,1,5,2.0,-0.17256512,-0.010415144,-0.11743659,-0.25703716,-0.21051021,4.5643083e-05,0.008543089,0.0035883777,-0.019766148,-0.06919515,0.010024225,-0.068924636,-0.040913697,-0.048096586,0.091991715,-0.005843237,-0.025027119,-0.032858945,-0.020792296,-0.05364392,0.0033703332,-0.0069945985,-0.013496881,0.061560158,0.00244614,-0.02725685,-0.03364595,0.01949487,-0.013480569,-0.07245415,0.016920377,-0.02897135
S0041,3.56,3.56,87,1,1,1,1,1,5,2.0,-0.11004839,0.20357653,0.0029649283,0.13772433,0.06177392,0.08166924,-0.12159599,-0.035820287,0.00852465,-0.008093958,0.047514047,0.05213998,0.020564994,-0.051507942,0.0029322142,0.019378083,-0.029845964,0.06053811,0.023623489,0.016797595,0.013424412,0.045635756,0.04819078,0.08837235,-0.0020629372,-0.0073420512,-0.020044148,0.02102813,0.07393077,-0.037509184,-0.04791425,-0.0036255151
S0042,4.0,4.0,78,0,1,1,1,1,5,2.0,0.09758545,0.2838411,-0.07028295,-0.16104089,0.03370056,-0.099491656,-0.048163284,0.019480495,-0.061523415,0.1263469,-0.053962465,0.02005377,-0.03340787,-0.041250627,0.055601746,0.10261773,-0.05321039,0.04966776,0.061877225,-0.011747745,0.018070485,0.020380532,0.0121382065,-0.10813166,-0.032164533,-0.035644118,-0.020660559,-0.0094465,0.041156583,0.06641206,-0.01890567,-0.031138893
S0043,3.09,3.09,82,1,1,1,1,1,4,2.5,0.2402346,-0.21616025,0.22122431,-0.16952965,-0.055258363,-0.11820789,-0.018739492,-0.14738503,0.051292397,0.15436098,0.0041683433,-0.036162518,-0.020356195,-0.08206245,-0.033574767,-0.06108615,-0.032959826,0.03637818,-0.0664556,-0.057385374,-0.054287802,-0.005565799,0.0052660783,-0.017295733,0.02716493,-0.03199674,0.04830511,-0.017176857,-0.007795693,-0.05687548,-0.015864937,0.041516658
S0044,3.06,3.06,91,2,2,1,1,1,5,2.0,-0.14019205,0.032438435,-0.20441082,0.10823968,-0.17771688,0.1321923,-0.07482773,-0.0211428,-0.022463866,0.0512887,-0.03486344,-0.046598896,0.093132354,-0.02014791,-0.00881314,0.069568835,-0.07349355,0.052158285,-0.015084493,0.05142297,-0.02565738,0.031574406,0.006668571,0.048393734,0.020419894,-0.03309907,-0.08578161,0.019893192,-0.039032742,-0.029446177,0.0134231085,0.022612028
S0045,3.95,3.95,96,1,1,1,1,1,5,2.0,-0.05643942,-0.1556632,-0.06312659,0.03676989,0.21521163,-0.19210136,-0.06373117,0.025342181,-0.033799227,0.008325389,0.07024118,-0.15461886,0.03462945,0.017460115,0.025907988,-0.013072724,0.04342399,0.0039133406,0.0057942914,-0.082287855,0.06975582,-0.037458517,0.06656759,0.0026403847,0.021687064,-0.00039993078,-0.000996904,0.025661394,-0.076805614,0.019813515,-0.01740808,0.0050646234
S0046,3.96,3.96,100,0,1,1,1,1,5,2.0,0.14239308,0.3185301,-0.10104562,-0.104172476,0.015176663,-0.058651198,0.081950836,0.033401,-0.05517872,0.051842827,0.044063885,-0.04901035,0.03723428,0.10606043,0.052443337,0.050610833,-0.04669362,-0.0214185,0.02279672,-0.042293124,0.026847092,-0.022305787,-0.02065615,-0.05804206,0.0057142912,-0.0027409368,-0.016956145,-0.052438527,-0.011287322,-0.027853796,-0.015367342,0.019752428
S0047,3.33,3.33,71,2,1,1,1,1,4,2.5,0.10530089,-0.044339567,0.17762867,-0.13802598,0.14514539,0.15916157,-0.038541656,-0.06473539,0.0059382273,0.010748561,0.0135330735,-0.037954643,-0.057986807,-0.06942223,-0.01814496,-0.030600524,-0.012298528,0.017616238,-0.05462625,0.053969912,-0.021461466,0.005006349,0.044910293,-0.0524016,-0.009184256,-0.021112738,-0.006925592,-0.07246825,0.047239564,0.020942628,-0.009058132,-0.033855103
S0048,3.72,3.72,84,0,1,1,1,1,5,2.0,-0.24689265,0.1413566,-0.11108372,-0.24413525,-0.08404023,-0.00070104684,-0.034000818,0.042963132,-0.10370527,-0.016329143,-0.058036964,-0.12409078,-0.01199272,-0.00036439978,-0.0074021043,-0.060364794,0.037797276,-0.030263307,-0.020984413,-0.02746438,-0.03321883,0.019412942,-0.02048326,0.00035540806,0.061579254,-0.04613713,-0.0041821543,-0.046797868,0.03905441,-0.0555075,-0.019457497,-0.003385647
S0049,3.43,3.43,86,2,1,3,1,1,4,2.5,-0.122178465,-0.07907419,0.10402169,-0.047953773,0.09057668,-0.17158152,-0.01740897,-0.071261585,0.007820116,0.071969725,0.1394604,-0.034466565,0.05194233,-0.06417378,0.0019507265,0.01646861,0.011371971,-0.00870362,-0.005014859,0.13484862,-0.007246857,-0.040425222,0.03672876,0.05848423,0.021698933,0.017372107,-0.072553284,0.0074562854,-0.059499446,0.013483889,-0.01999769,0.045458708
S0050,4.0,4.0,93,1,1,1,1,1,5,2.0,0.070839256,0.28394854,0.038037647,-0.19432087,-0.0970612,-0.08453004,-0.10999268,0.045742344,0.010584361,0.066311315,-0.035667118,0.008805606,0.029374303,-0.020942213,0.09661439,0.02484221,0.020602299,-0.056583054,0.03151814,0.03167923,-0.015060982,0.0622369,0.042198785,-0.002369256,-0.080137126,0.0013081627,0.0056472304,0.008973791,0.03685008,0.07495768,-0.017332213,0.019585421
S0051,3.16,3.16,72,1,1,1,1,1,5,2.0,-0.023235196,-0.16495226,0.33412078,-0.24881104,-0.038711403,-0.011089568,0.029118983,-0.061913315,-0.066905744,0.07262001,-0.048652645,0.036656365,0.039661344,0.14499328,0.031371847,0.061878245,0.07184454,-0.0025068296,-0.044710185,0.05476063,-0.0098672565,0.0705419,-0.054337945,0.007184077,0.030872341,0.024618864,0.054314602,-0.06851844,-0.02572849,0.039229993,0.00455494,-0.023642473
S0052,3.43,3.43,83,2,2,1,1,1,5,2.0,0.03786615,-0.2744017,-0.09819902,0.18948373,-0.121008635,-0.028500693,0.038625356,0.0074467626,-0.09152116,-0.08382674,0.013728608,-0.026294706,-0.07164292,-0.05253633,0.06199223,-0.011897145,-0.020451719,0.022750732,0.017918997,0.06996258,0.051892407,-0.004444827,0.0062852977,-0.056278244,-0.043465175,0.045052785,-0.017377062,0.019255625,-0.046394117,-0.02018227,-0.03306986,0.0018768718
S0053,2.73,2.73,95,1,1,2,1,1,5,2.0,-0.080887854,-0.04079861,0.09106446,0.1760108,-0.01494857,-0.08128221,-0.07729461,0.018460307,-0.0041936515,0.11737205,-0.051816493,-0.023978079,-0.0151179135,0.061696492,0.016004995,-0.06515489,0.021850185,-0.081797816,-0.03061125,0.017005192,0.029886588,-0.007773296,0.097431846,0.02317709,-0.013431889,-0.01826859,0.0004995162,-0.009454895,0.054272134,-0.023509333,-0.006014964,-0.0152738625
S0054,3.85,3.85,94,0,1,1,1,1,5,2.0,0.34505722,0.1630931,-0.24704356,-0.0044352137,0.061640132,-0.07585533,0.12393763,0.10850942,-0.015312442,-0.08838951,-0.09886033,0.05396803,0.071981296,0.021388317,-0.01971773,-0.104103014,0.07249259,0.020407226,0.006690869,-0.027027687,-0.08727759,-0.014111834,0.06574236,-0.061165247,0.04041548,-0.035051998,0.037813704,-0.013121463,-0.028222175,-0.00407713,-0.012363972,-0.022124652
S0055,3.24,3.24,76,3,1,1,1,1,5,2.0,0.05870497,-0.1079638,0.16282305,-0.048838895,0.11691699,0.12183624,0.0411774,-0.16538869,0.0073693474,-0.005487335,-0.046010315,0.012715582,-0.00615549,0.0372993,-0.038379896,-0.053597923,-0.015930515,0.031209504,-0.05099456,-0.06862139,0.0545606,-0.07894264,0.0431857,-0.09526858,0.0011819482,-0.06472814,0.025878549,0.019115308,0.0007555597,0.027759748,0.03364741,0.0058014537
