job_id,job_title,company,location,department,job_level,required_experience_years,required_skills,preferred_certificates,date_posted,job_url,job_description
J0014,Principal Network Engineer,Pyramid Solutions Ltd,Aswan,Network,Lead,9,"Numpy, Computer Vision, Elasticsearch, Ansible, Flask",Huawei HCIP,2025-10-05,https//example.com/jobs/14,"Looking for a Lead Network Engineer to join Pyramid Solutions. Must have experience in NumPy, Computer Vision, ElasticSearch. Preferred certification Huawei HCIP."
J0015,Mid-Level Frontend Developer,Alex Tech Group,Cairo,Software,Mid,6,"Aws, Python, React, Javascript, Firewalls, Hipaa, C",Cisco CCNP,2025-09-25,https//example.com/jobs/15,"Looking for a Mid Frontend Developer to join ALEX Tech. Must have experience in AWS, Python, React. Preferred certification Cisco CCNP."
J0016,Senior It Support Engineer,Delta Systems Group,Mansoura,Cloud/DevOps,Mid,3,"Tensorflow, Iso27001, Git, Azure, Hipaa, Spark, Docker, Kubernetes",AWS Certified Developer,2025-09-27,https//example.com/jobs/16,"Looking for a Mid IT Support Engineer to join Delta Systems. Must have experience in TensorFlow, ISO27001, Git. Preferred certification AWS Certified Developer."
J0017,Senior Database Administrator,Alex Tech Solutions,Aswan,Data,Mid,2,"Javascript, Numpy, 5G, Docker, Node.Js",AWS Certified Developer,2025-10-06,https//example.com/jobs/17,"Looking for a Mid Database Administrator to join ALEX Tech. Must have experience in JavaScript, NumPy, 5G. Preferred certification AWS Certified Developer."
J0018,Senior Data Analyst,Delta Systems Solutions,Suez,Data,Junior,2,"Ci/Cd, Azure, React, Elasticsearch, Hipaa, Docker, Tensorflow",AWS Certified Developer,2025-09-24,https//example.com/jobs/18,"Looking for a Junior Data Analyst to join Delta Systems. Must have experience in CI/CD, Azure, React. Preferred certification AWS Certified Developer."
J0019,Mid-Level Mobile Developer,Techsol Egypt Group,Giza,Software,Senior,7,"Spark, Rest Apis, Git, Kubernetes, Aws, Docker",Google Professional Data Engineer,2025-11-17,https//example.com/jobs/19,"Looking for a Senior Mobile Developer to join TechSol Egypt. Must have experience in Spark, REST APIs, Git. Preferred certification Google Professional Data Engineer."
J0020,Junior Backend Developer,Cairocloud Egypt,Aswan,Software,Intern,0,"Gcp, Ci/Cd, Tcp/Ip, Hadoop, Rest Apis, Pytorch",Huawei HCIP,2025-10-09,https//example.com/jobs/20,"Looking for a Intern Backend Developer to join CairoCloud. Must have experience in GCP, CI/CD, TCP/IP. Preferred certification Huawei HCIP."
J0021,Mid-Level Data Analyst,Techsol Egypt Ltd,Cairo,Data,Senior,7,"Firewalls, Git, Microservices, React, Tensorflow, Aws",Not Specified,2025-10-01,https//example.com/jobs/21,"Looking for a Senior Data Analyst to join TechSol Egypt. Must have experience in Firewalls, Git, Microservices. Preferred certification not required."
J0022,Principal Backend Developer,Pyramid Solutions Group,Giza,Software,Senior,7,"React, Azure, Numpy, Flask, Iso27001, C, Node.Js",Google Professional Data Engineer,2025-11-02,https//example.com/jobs/22,"Looking for a Senior Backend Developer to join Pyramid Solutions. Must have experience in React, Azure, NumPy. Preferred certification Google Professional Data Engineer."
J0023,Lead Embedded Systems Engineer,Deltabyte Egypt,Tanta,Network,Senior,10,"Azure, Gcp, Numpy, Tensorflow, Routing, Docker, Sql",Certified Information Systems Security Professional (CISSP),2025-10-11,https//example.com/jobs/23,"Looking for a Senior Embedded Systems Engineer to join DeltaByte. Must have experience in Azure, GCP, NumPy. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0024,Senior Frontend Developer,Techsol Egypt Inc,Suez,Software,Mid,2,"Terraform, Kubernetes, Microservices, Node.Js",Cisco CCNA,2025-09-29,https//example.com/jobs/24,"Looking for a Mid Frontend Developer to join TechSol Egypt. Must have experience in Terraform, Kubernetes, Microservices. Preferred certification Cisco CCNA."
J0025,Mid-Level Devops Engineer,Nilesoft Group,Hurghada,Cloud/DevOps,Mid,2,"Terraform, Routing, Ansible, Python, Iso27001, Django, Docker, Sql, Node.Js",Huawei HCIA,2025-10-07,https//example.com/jobs/25,"Looking for a Mid DevOps Engineer to join NileSoft. Must have experience in Terraform, Routing, Ansible. Preferred certification Huawei HCIA."
J0026,Junior Full Stack Developer,Nilesoft Solutions,Alexandria,Software,Junior,6,"Kubernetes, Gcp, Microservices, Rest Apis, Javascript",AWS Certified Developer,2025-10-31,https//example.com/jobs/26,"Looking for a Junior Full Stack Developer to join NileSoft. Must have experience in Kubernetes, GCP, Microservices. Preferred certification AWS Certified Developer."
J0027,Lead Database Administrator,Pharos Ai Inc,Cairo,Data,Intern,2,"Gcp, Sql, Elasticsearch, Hipaa, Docker, Aws",Google Professional Data Engineer,2025-10-26,https//example.com/jobs/27,"Looking for a Intern Database Administrator to join Pharos AI. Must have experience in GCP, SQL, ElasticSearch. Preferred certification Google Professional Data Engineer."
J0028,Principal Software Engineer,Nilesoft Ltd,Giza,Software,Senior,8,"C, Computer Vision, Hipaa, Pytorch, Hadoop, Tensorflow, Firewalls, Sql",Cisco CCNA,2025-10-14,https//example.com/jobs/28,"Looking for a Senior Software Engineer to join NileSoft. Must have experience in C, Computer Vision, HIPAA. Preferred certification Cisco CCNA."
J0029,Principal Backend Developer,Alex Tech Solutions,Hurghada,Software,Mid,1,"Hipaa, Spark, Pytorch, Azure, Sql, Kubernetes, React",Huawei HCIA,2025-11-16,https//example.com/jobs/29,"Looking for a Mid Backend Developer to join ALEX Tech. Must have experience in HIPAA, Spark, PyTorch. Preferred certification Huawei HCIA."
J0030,Junior Database Administrator,Techsol Egypt Egypt,Alexandria,Data,Senior,11,"Azure, Linux, Sql, Django, Pandas, C",Certified Information Systems Security Professional (CISSP),2025-10-05,https//example.com/jobs/30,"Looking for a Senior Database Administrator to join TechSol Egypt. Must have experience in Azure, Linux, SQL. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0031,Mid-Level Data Analyst,Smartdata Labs Egypt,Tanta,Data,Junior,6,"Java, Docker, Numpy, 5G, React",Cisco CCNA,2025-11-15,https//example.com/jobs/31,"Looking for a Junior Data Analyst to join SmartData Labs. Must have experience in Java, Docker, NumPy. Preferred certification Cisco CCNA."
J0032,Junior Frontend Developer,Cloudworks Egypt Ltd,Mansoura,Software,Mid,8,"5G, Java, Flask, Gcp, Nosql, Terraform, C, React, Aws",AWS Certified Developer,2025-10-29,https//example.com/jobs/32,"Looking for a Mid Frontend Developer to join CloudWorks Egypt. Must have experience in 5G, Java, Flask. Preferred certification AWS Certified Developer."
J0033,Mid-Level Database Administrator,Alex Tech Inc,Tanta,Data,Mid,1,"Iso27001, Docker, Gcp, C, Hadoop, Python, Sql, Kubernetes",Not Specified,2025-11-19,https//example.com/jobs/33,"Looking for a Mid Database Administrator to join ALEX Tech. Must have experience in ISO27001, Docker, GCP. Preferred certification not required."
J0034,Principal Mobile Developer,Masrsoft Solutions,Hurghada,Software,Mid,2,"Switching, Flask, Routing, Microservices, Spark, Sql, Aws, React",Cisco CCNP,2025-10-16,https//example.com/jobs/34,"Looking for a Mid Mobile Developer to join MasrSoft. Must have experience in Switching, Flask, Routing. Preferred certification Cisco CCNP."
J0035,Mid-Level Systems Administrator,Pyramid Solutions Inc,Alexandria,Network,Junior,6,"Iso27001, Routing, Numpy, Hipaa, Docker",AWS Certified Solutions Architect,2025-10-10,https//example.com/jobs/35,"Looking for a Junior Systems Administrator to join Pyramid Solutions. Must have experience in ISO27001, Routing, NumPy. Preferred certification AWS Certified Solutions Architect."
J0036,Junior Systems Administrator,Delta Systems Ltd,Aswan,Network,Senior,9,"Elasticsearch, Firewalls, Kubernetes, Microservices, Git, Sql",AWS Certified Developer,2025-10-09,https//example.com/jobs/36,"Looking for a Senior Systems Administrator to join Delta Systems. Must have experience in ElasticSearch, Firewalls, Kubernetes. Preferred certification AWS Certified Developer."
J0037,Principal It Support Engineer,Masrsoft Group,Tanta,Cloud/DevOps,Junior,5,"Aws, Docker, Pytorch, Java, C, Python, Node.Js, React",Huawei HCIP,2025-10-21,https//example.com/jobs/37,"Looking for a Junior IT Support Engineer to join MasrSoft. Must have experience in AWS, Docker, PyTorch. Preferred certification Huawei HCIP."
J0038,Lead Quality Assurance Engineer,Cloudworks Egypt Ltd,Giza,Software,Mid,6,"Rest Apis, Numpy, Azure, Pytorch, Python, Django, React",Google Professional Data Engineer,2025-10-05,https//example.com/jobs/38,"Looking for a Mid Quality Assurance Engineer to join CloudWorks Egypt. Must have experience in REST APIs, NumPy, Azure. Preferred certification Google Professional Data Engineer."
J0039,Principal Data Scientist,Cloudworks Egypt Ltd,Suez,AI,Junior,6,"Ci/Cd, Tensorflow, Ansible, Node.Js, Sql",Not Specified,2025-10-29,https//example.com/jobs/39,"Looking for a Junior Data Scientist to join CloudWorks Egypt. Must have experience in CI/CD, TensorFlow, Ansible. Preferred certification not required."
J0040,Mid-Level Cloud Engineer,Cloudworks Egypt Inc,Suez,Cloud/DevOps,Mid,6,"Elasticsearch, Sql, Git, Firewalls, Gcp, Azure, Linux",Not Specified,2025-10-22,https//example.com/jobs/40,"Looking for a Mid Cloud Engineer to join CloudWorks Egypt. Must have experience in ElasticSearch, SQL, Git. Preferred certification not required."
J0041,Principal Ai Researcher,Pharos Ai Solutions,Suez,AI,Junior,7,"Linux, 5G, Switching, Terraform",AWS Certified Developer,2025-09-29,https//example.com/jobs/41,"Looking for a Junior AI Researcher to join Pharos AI. Must have experience in Linux, 5G, Switching. Preferred certification AWS Certified Developer."
J0042,Lead Machine Learning Engineer,Delta Systems Inc,Aswan,AI,Mid,3,"Spark, 5G, Terraform, Tensorflow, React",Certified Information Systems Security Professional (CISSP),2025-10-17,https//example.com/jobs/42,"Looking for a Mid Machine Learning Engineer to join Delta Systems. Must have experience in Spark, 5G, Terraform. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0043,Senior Backend Developer,Delta Systems Inc,Aswan,Software,Mid,2,"Pandas, Git, Python, Nlp, Routing, Firewalls, Spark, Kubernetes, Sql",Not Specified,2025-11-07,https//example.com/jobs/43,"Looking for a Mid Backend Developer to join Delta Systems. Must have experience in Pandas, Git, Python. Preferred certification not required."
J0044,Principal Mobile Developer,Cloudworks Egypt Inc,Hurghada,Software,Mid,5,"Rest Apis, Java, Pandas, 5G, Numpy, Sql, Tensorflow, Aws",Certified Information Systems Security Professional (CISSP),2025-11-18,https//example.com/jobs/44,"Looking for a Mid Mobile Developer to join CloudWorks Egypt. Must have experience in REST APIs, Java, Pandas. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0045,Junior Machine Learning Engineer,Deltabyte Inc,Cairo,AI,Senior,4,"Hadoop, Tensorflow, Ci/Cd, Python",Huawei HCIA,2025-09-24,https//example.com/jobs/45,"Looking for a Senior Machine Learning Engineer to join DeltaByte. Must have experience in Hadoop, TensorFlow, CI/CD. Preferred certification Huawei HCIA."
J0046,Principal Network Engineer,Giza Networks Ltd,Tanta,Network,Junior,5,"Pandas, Linux, Spark, Gcp, Node.Js, Aws",Certified Information Systems Security Professional (CISSP),2025-09-22,https//example.com/jobs/46,"Looking for a Junior Network Engineer to join Giza Networks. Must have experience in Pandas, Linux, Spark. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0047,Mid-Level Mobile Developer,Techsol Egypt Ltd,Tanta,Software,Junior,1,"Java, Azure, Docker, Sql",AWS Certified Solutions Architect,2025-10-30,https//example.com/jobs/47,"Looking for a Junior Mobile Developer to join TechSol Egypt. Must have experience in Java, Azure, Docker. Preferred certification AWS Certified Solutions Architect."
J0048,Mid-Level Machine Learning Engineer,Delta Systems Egypt,Alexandria,AI,Mid,3,"Kubernetes, Ci/Cd, Gcp, Computer Vision, Sql, Flask, Ansible",Cisco CCNA,2025-09-27,https//example.com/jobs/48,"Looking for a Mid Machine Learning Engineer to join Delta Systems. Must have experience in Kubernetes, CI/CD, GCP. Preferred certification Cisco CCNA."
J0049,Mid-Level Embedded Systems Engineer,Techsol Egypt Inc,Mansoura,Network,Mid,6,"Docker, React, Azure, Django, Routing, Flask, Kubernetes",AWS Certified Solutions Architect,2025-10-13,https//example.com/jobs/49,"Looking for a Mid Embedded Systems Engineer to join TechSol Egypt. Must have experience in Docker, React, Azure. Preferred certification AWS Certified Solutions Architect."
J0050,Senior Mobile Developer,Giza Networks Inc,Tanta,Software,Junior,6,"Spark, Rest Apis, Django",Google Professional Data Engineer,2025-10-14,https//example.com/jobs/50,"Looking for a Junior Mobile Developer to join Giza Networks. Must have experience in Spark, REST APIs, Django. Preferred certification Google Professional Data Engineer."
J0051,Principal Business Analyst,Futurevision Egypt,Alexandria,Data,Mid,7,"Terraform, Git, Ci/Cd, Hadoop, Linux, Switching, Azure, Python, Kubernetes, Tensorflow",AWS Certified Developer,2025-10-08,https//example.com/jobs/51,"Looking for a Mid Business Analyst to join FutureVision. Must have experience in Terraform, Git, CI/CD. Preferred certification AWS Certified Developer."
J0052,Senior Business Analyst,Delta Systems Ltd,Suez,Data,Mid,7,"Java, Rest Apis, Switching, Nosql, Kubernetes, Tensorflow",Cisco CCNP,2025-11-11,https//example.com/jobs/52,"Looking for a Mid Business Analyst to join Delta Systems. Must have experience in Java, REST APIs, Switching. Preferred certification Cisco CCNP."
J0053,Junior Network Engineer,Alex Tech Inc,Mansoura,Network,Senior,9,"Python, Ansible, Docker, Node.Js, Azure, Spark, Rest Apis, Aws, Sql",Not Specified,2025-11-08,https//example.com/jobs/53,"Looking for a Senior Network Engineer to join ALEX Tech. Must have experience in Python, Ansible, Docker. Preferred certification not required."
J0054,Mid-Level Ai Researcher,Futurevision Ltd,Suez,AI,Mid,9,"Java, Node.Js, Tcp/Ip, Aws, Numpy, Azure, Python, Sql",Cisco CCNA,2025-11-02,https//example.com/jobs/54,"Looking for a Mid AI Researcher to join FutureVision. Must have experience in Java, Node.js, TCP/IP. Preferred certification Cisco CCNA."
J0055,Lead Embedded Systems Engineer,Alex Tech Egypt,Suez,Network,Mid,8,"Hipaa, 5G, Nlp, Ci/Cd, Linux, Routing, Node.Js, Aws, React",Cisco CCNA,2025-10-05,https//example.com/jobs/55,"Looking for a Mid Embedded Systems Engineer to join ALEX Tech. Must have experience in HIPAA, 5G, NLP. Preferred certification Cisco CCNA."
J0056,Mid-Level Full Stack Developer,Futurevision Ltd,Hurghada,Software,Junior,3,"Kubernetes, Git, Linux, Firewalls, Node.Js",Not Specified,2025-10-29,https//example.com/jobs/56,"Looking for a Junior Full Stack Developer to join FutureVision. Must have experience in Kubernetes, Git, Linux. Preferred certification not required."
J0057,Lead Systems Administrator,Nilesoft Ltd,Hurghada,Network,Junior,5,"Routing, Python, Terraform, Tensorflow, Sql, Node.Js",Cisco CCNA,2025-09-23,https//example.com/jobs/57,"Looking for a Junior Systems Administrator to join NileSoft. Must have experience in Routing, Python, Terraform. Preferred certification Cisco CCNA."
J0058,Senior Backend Developer,Pyramid Solutions Solutions,Mansoura,Software,Mid,3,"Django, Python, Tcp/Ip, Git, Terraform, Elasticsearch",Cisco CCNP,2025-10-02,https//example.com/jobs/58,"Looking for a Mid Backend Developer to join Pyramid Solutions. Must have experience in Django, Python, TCP/IP. Preferred certification Cisco CCNP."
J0059,Lead Backend Developer,Pharos Ai Group,Suez,Software,Junior,3,"Rest Apis, React, Javascript, Pytorch, Terraform, Routing",AWS Certified Developer,2025-10-06,https//example.com/jobs/59,"Looking for a Junior Backend Developer to join Pharos AI. Must have experience in REST APIs, React, JavaScript. Preferred certification AWS Certified Developer."
J0060,Lead Full Stack Developer,Pyramid Solutions Ltd,Aswan,Software,Mid,3,"Pandas, Elasticsearch, Iso27001, Routing, Hadoop, Terraform, Javascript, Docker, Node.Js",AWS Certified Developer,2025-11-20,https//example.com/jobs/60,"Looking for a Mid Full Stack Developer to join Pyramid Solutions. Must have experience in Pandas, ElasticSearch, ISO27001. Preferred certification AWS Certified Developer."
J0061,Senior Data Analyst,Masrsoft Inc,Hurghada,Data,Junior,4,"Azure, Nosql, Hipaa, React",Huawei HCIA,2025-09-21,https//example.com/jobs/61,"Looking for a Junior Data Analyst to join MasrSoft. Must have experience in Azure, NoSQL, HIPAA. Preferred certification Huawei HCIA."
J0062,Lead Database Administrator,Smartdata Labs Group,Suez,Data,Junior,3,"Tcp/Ip, Ci/Cd, React, Aws, Gcp, Node.Js",Huawei HCIP,2025-10-18,https//example.com/jobs/62,"Looking for a Junior Database Administrator to join SmartData Labs. Must have experience in TCP/IP, CI/CD, React. Preferred certification Huawei HCIP."
J0063,Mid-Level Full Stack Developer,Pyramid Solutions Solutions,Hurghada,Software,Mid,4,"React, Javascript, Sql, Routing",Cisco CCNA,2025-10-19,https//example.com/jobs/63,"Looking for a Mid Full Stack Developer to join Pyramid Solutions. Must have experience in React, JavaScript, SQL. Preferred certification Cisco CCNA."
J0064,Lead Full Stack Developer,Smartdata Labs Egypt,Mansoura,Software,Mid,6,"Terraform, Rest Apis, Elasticsearch, Node.Js, C, Hadoop, Switching, Python, Kubernetes",Cisco CCNA,2025-09-22,https//example.com/jobs/64,"Looking for a Mid Full Stack Developer to join SmartData Labs. Must have experience in Terraform, REST APIs, ElasticSearch. Preferred certification Cisco CCNA."
J0065,Senior Frontend Developer,Delta Systems Solutions,Cairo,Software,Lead,9,"C, Nosql, Git, Ansible, Elasticsearch, Linux, Iso27001, Python, Sql",Google Professional Data Engineer,2025-10-31,https//example.com/jobs/65,"Looking for a Lead Frontend Developer to join Delta Systems. Must have experience in C, NoSQL, Git. Preferred certification Google Professional Data Engineer."
J0066,Principal Product Manager,Nilesoft Inc,Suez,Software,Junior,8,"Django, Sql, 5G, Spark, Rest Apis",Cisco CCNA,2025-11-02,https//example.com/jobs/66,"Looking for a Junior Product Manager to join NileSoft. Must have experience in Django, SQL, 5G. Preferred certification Cisco CCNA."
J0067,Lead Cybersecurity Analyst,Cloudworks Egypt Ltd,Cairo,Other,Mid,5,"Switching, Flask, Numpy, Microservices, Python",Not Specified,2025-10-20,https//example.com/jobs/67,"Looking for a Mid Cybersecurity Analyst to join CloudWorks Egypt. Must have experience in Switching, Flask, NumPy. Preferred certification not required."
J0068,Mid-Level Database Administrator,Techsol Egypt Ltd,Hurghada,Data,Mid,10,"Javascript, Kubernetes, Linux, Tensorflow, Tcp/Ip, Elasticsearch, Python, Sql",Certified Information Systems Security Professional (CISSP),2025-09-28,https//example.com/jobs/68,"Looking for a Mid Database Administrator to join TechSol Egypt. Must have experience in JavaScript, Kubernetes, Linux. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0069,Junior Software Engineer,Masrsoft Group,Hurghada,Software,Senior,10,"Python, Hipaa, Spark, Node.Js, Aws, Flask, Ci/Cd, Kubernetes, React",AWS Certified Developer,2025-11-01,https//example.com/jobs/69,"Looking for a Senior Software Engineer to join MasrSoft. Must have experience in Python, HIPAA, Spark. Preferred certification AWS Certified Developer."
J0070,Lead Machine Learning Engineer,Smartdata Labs Group,Mansoura,AI,Mid,7,"Git, Firewalls, Azure, Ci/Cd, Pytorch, Pandas, React, Python, Sql",Huawei HCIP,2025-11-18,https//example.com/jobs/70,"Looking for a Mid Machine Learning Engineer to join SmartData Labs. Must have experience in Git, Firewalls, Azure. Preferred certification Huawei HCIP."
J0071,Principal Quality Assurance Engineer,Pyramid Solutions Ltd,Alexandria,Software,Senior,10,"5G, Microservices, Linux, Python, Tcp/Ip, Routing",Certified Information Systems Security Professional (CISSP),2025-11-15,https//example.com/jobs/71,"Looking for a Senior Quality Assurance Engineer to join Pyramid Solutions. Must have experience in 5G, Microservices, Linux. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0072,Senior Machine Learning Engineer,Smartdata Labs Ltd,Suez,AI,Junior,7,"Switching, Docker, Azure, Pandas, Aws, Spark, Node.Js",AWS Certified Solutions Architect,2025-10-11,https//example.com/jobs/72,"Looking for a Junior Machine Learning Engineer to join SmartData Labs. Must have experience in Switching, Docker, Azure. Preferred certification AWS Certified Solutions Architect."
J0073,Principal Product Manager,Futurevision Solutions,Aswan,Software,Mid,5,"C, Tensorflow, Microservices, 5G, Django, Elasticsearch, Sql",AWS Certified Developer,2025-10-24,https//example.com/jobs/73,"Looking for a Mid Product Manager to join FutureVision. Must have experience in C, TensorFlow, Microservices. Preferred certification AWS Certified Developer."
J0074,Lead Business Analyst,Techsol Egypt Inc,Alexandria,Data,Mid,5,"Git, Gcp, 5G, Tensorflow, Node.Js",Google Professional Data Engineer,2025-11-01,https//example.com/jobs/74,"Looking for a Mid Business Analyst to join TechSol Egypt. Must have experience in Git, GCP, 5G. Preferred certification Google Professional Data Engineer."
J0075,Junior Frontend Developer,Alex Tech Inc,Aswan,Software,Lead,12,"C, React, Azure, Tcp/Ip, Aws, Node.Js, Hadoop, Python",AWS Certified Developer,2025-11-08,https//example.com/jobs/75,"Looking for a Lead Frontend Developer to join ALEX Tech. Must have experience in C, React, Azure. Preferred certification AWS Certified Developer."
J0076,Principal Full Stack Developer,Smartdata Labs Inc,Alexandria,Software,Mid,1,"Switching, Javascript, Tcp/Ip",Cisco CCNP,2025-10-14,https//example.com/jobs/76,"Looking for a Mid Full Stack Developer to join SmartData Labs. Must have experience in Switching, JavaScript, TCP/IP. Preferred certification Cisco CCNP."
J0077,Junior Database Administrator,Cairocloud Inc,Hurghada,Data,Mid,2,"Nosql, Node.Js, Pandas, Azure, Tensorflow",Certified Information Systems Security Professional (CISSP),2025-11-18,https//example.com/jobs/77,"Looking for a Mid Database Administrator to join CairoCloud. Must have experience in NoSQL, Node.js, Pandas. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0078,Lead Embedded Systems Engineer,Cairocloud Solutions,Hurghada,Network,Mid,5,"Gcp, Python, Ci/Cd, Tcp/Ip, Sql, React, Docker",Certified Information Systems Security Professional (CISSP),2025-11-20,https//example.com/jobs/78,"Looking for a Mid Embedded Systems Engineer to join CairoCloud. Must have experience in GCP, Python, CI/CD. Preferred certification Certified Information Systems Security Professional (CISSP)."
J0079,Lead Devops Engineer,Deltabyte Egypt,Mansoura,Cloud/DevOps,Mid,9,"Ci/Cd, Routing, Docker, Pandas, Git, Sql, React",AWS Certified Developer,2025-10-06,https//example.com/jobs/79,"Looking for a Mid DevOps Engineer to join DeltaByte. Must have experience in CI/CD, Routing, Docker. Preferred certification AWS Certified Developer."
J0080,Lead Cybersecurity Analyst,Deltabyte Group,Tanta,Other,Mid,5,"Numpy, Linux, Python, Kubernetes, Aws",AWS Certified Solutions Architect,2025-11-18,https//example.com/jobs/80,"Looking for a Mid Cybersecurity Analyst to join DeltaByte. Must have experience in NumPy, Linux, Python. Preferred certification AWS Certified Solutions Architect."
J0081,Junior Quality Assurance Engineer,Futurevision Group,Suez,Software,Senior,10,"Nlp, Aws, Docker, Gcp, Tensorflow, Node.Js",Huawei HCIA,2025-10-31,https//example.com/jobs/81,"Looking for a Senior Quality Assurance Engineer to join FutureVision. Must have experience in NLP, AWS, Docker. Preferred certification Huawei HCIA."
J0082,Principal Full Stack Developer,Masrsoft Solutions,Cairo,Software,Junior,7,"Firewalls, Computer Vision, Tensorflow, Node.Js, React",AWS Certified Developer,2025-11-18,https//example.com/jobs/82,"Looking for a Junior Full Stack Developer to join MasrSoft. Must have experience in Firewalls, Computer Vision, TensorFlow. Preferred certification AWS Certified Developer."
