CourseProvider,CourseTitle,Description,SkillsGained,Department,Level,Track
AWS,AWS Developer Building Serverless Applications - Cohort 10 (Part 3),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design",CS,Beginner,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 11 (Part 3),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd",CS,Intermediate,DevOps
Huawei,HCIA-Cloud Computing - Cohort 12 (Part 2),Intro to Huawei Cloud Computing,"Cloud, Virtualization",Network,Advanced,Cloud
Huawei,HCIP-Datacom - Cohort 13 (Part 2),Professional routing & switching,"Routing, Switching, Machine Learning, Aws",Network,Beginner,Networking
Huawei,Big Data Developer - Cohort 14 (Part 1),Big Data development with Huawei,"Big Data, Etl, React",IS,Intermediate,Data
Huawei,AI Talent Program - Cohort 15 (Part 2),Machine & Deep Learning,"Machine Learning, Deep Learning",AI,Advanced,ML
AWS,AWS Developer Path - Cohort 1 (Part 2),Full stack AWS application development,"Python, Web, Cloud, Docker",CS,Beginner,DevOps
AWS,AWS ML Specialty - Cohort 2 (Part 1),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker",AI,Intermediate,ML
AWS,AWS Data Analytics - Cohort 3 (Part 2),Data analysis at scale on AWS,"Data Analysis, Bi, Docker, Machine Learning",IS,Advanced,Data
AWS,AWS Cloud Architecture Path - Cohort 4 (Part 2),Design and operate secure cloud infrastructure,"Architecture, Cloud Security, Aws, Docker",Network,Beginner,Cloud
Huawei,HCIA-Cloud Computing - Cohort 5 (Part 3),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage",Network,Intermediate,Cloud
Huawei,HCIP-Cloud Computing - Cohort 6 (Part 2),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery, Python",Network,Advanced,Cloud
Huawei,HCIA-Datacom - Cohort 7 (Part 3),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf, Python, Docker",Network,Beginner,Networking
Huawei,HCIP-Datacom - Cohort 8 (Part 2),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting, Machine Learning, Aws",Network,Intermediate,Networking
Huawei,HCIA-AI - Cohort 9 (Part 2),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing",AI,Advanced,ML
Huawei,HCIP-AI-Developer - Cohort 10 (Part 2),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore",AI,Beginner,ML
Huawei,Huawei Big Data Developer - Cohort 11 (Part 3),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing, Machine Learning",IS,Intermediate,Data
Huawei,Huawei Data Warehouse and BI - Cohort 12 (Part 3),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql, Aws",IS,Advanced,Data
Huawei,Huawei Cloud DevOps - Cohort 13 (Part 3),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci, React",CS,Beginner,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 14 (Part 1),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices, Aws",CS,Intermediate,Software
AWS,AWS Academy Cloud Foundations - Cohort 15 (Part 1),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Aws",Network,Advanced,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 1 (Part 3),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security, React, Docker",Network,Beginner,Cloud
AWS,AWS Academy Data Engineering - Cohort 2 (Part 2),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines, Machine Learning, Docker",IS,Intermediate,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 3 (Part 2),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics",AI,Advanced,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 4 (Part 3),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops, React",AI,Beginner,ML
AWS,AWS Academy Cloud Security - Cohort 5 (Part 1),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance, Python",Network,Intermediate,Security
AWS,AWS Developer Building Serverless Applications - Cohort 6 (Part 1),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design, React",CS,Advanced,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 7 (Part 2),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd, Aws",CS,Beginner,DevOps
Huawei,HCIA-Cloud Computing - Cohort 8 (Part 3),Intro to Huawei Cloud Computing,"Cloud, Virtualization",Network,Intermediate,Cloud
Huawei,HCIP-Datacom - Cohort 9 (Part 3),Professional routing & switching,"Routing, Switching",Network,Advanced,Networking
Huawei,Big Data Developer - Cohort 10 (Part 3),Big Data development with Huawei,"Big Data, Etl, Docker, Aws",IS,Beginner,Data
Huawei,AI Talent Program - Cohort 11 (Part 1),Machine & Deep Learning,"Machine Learning, Deep Learning, Python, React",AI,Intermediate,ML
AWS,AWS Developer Path - Cohort 12 (Part 3),Full stack AWS application development,"Python, Web, Cloud, Kubernetes",CS,Advanced,DevOps
AWS,AWS ML Specialty - Cohort 13 (Part 3),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker, Docker",AI,Beginner,ML
AWS,AWS Data Analytics - Cohort 14 (Part 1),Data analysis at scale on AWS,"Data Analysis, Bi, Docker, Machine Learning",IS,Intermediate,Data
AWS,AWS Cloud Architecture Path - Cohort 15 (Part 2),Design and operate secure cloud infrastructure,"Architecture, Cloud Security, React",Network,Advanced,Cloud
Huawei,HCIA-Cloud Computing - Cohort 1 (Part 2),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage, Kubernetes, React",Network,Beginner,Cloud
Huawei,HCIP-Cloud Computing - Cohort 2 (Part 3),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery, React",Network,Intermediate,Cloud
Huawei,HCIA-Datacom - Cohort 3 (Part 2),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf, Aws",Network,Advanced,Networking
Huawei,HCIP-Datacom - Cohort 4 (Part 3),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting, Machine Learning",Network,Beginner,Networking
Huawei,HCIA-AI - Cohort 5 (Part 2),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing, Kubernetes, React",AI,Intermediate,ML
Huawei,HCIP-AI-Developer - Cohort 6 (Part 2),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore, Aws, React",AI,Advanced,ML
Huawei,Huawei Big Data Developer - Cohort 7 (Part 3),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing",IS,Beginner,Data
Huawei,Huawei Data Warehouse and BI - Cohort 8 (Part 3),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql",IS,Intermediate,Data
Huawei,Huawei Cloud DevOps - Cohort 9 (Part 1),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci",CS,Advanced,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 10 (Part 1),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices, Kubernetes",CS,Beginner,Software
AWS,AWS Academy Cloud Foundations - Cohort 11 (Part 3),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Kubernetes",Network,Intermediate,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 12 (Part 3),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security, Kubernetes",Network,Advanced,Cloud
AWS,AWS Academy Data Engineering - Cohort 13 (Part 3),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines",IS,Beginner,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 14 (Part 1),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics, React",AI,Intermediate,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 15 (Part 3),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops",AI,Advanced,ML
AWS,AWS Academy Cloud Security - Cohort 1 (Part 3),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance, Machine Learning, Python",Network,Beginner,Security
AWS,AWS Developer Building Serverless Applications - Cohort 2 (Part 2),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design",CS,Intermediate,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 3 (Part 2),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd, React, Docker",CS,Advanced,DevOps
Huawei,HCIA-Cloud Computing - Cohort 4 (Part 2),Intro to Huawei Cloud Computing,"Cloud, Virtualization, Python",Network,Beginner,Cloud
Huawei,HCIP-Datacom - Cohort 5 (Part 2),Professional routing & switching,"Routing, Switching",Network,Intermediate,Networking
Huawei,Big Data Developer - Cohort 6 (Part 2),Big Data development with Huawei,"Big Data, Etl, Aws",IS,Advanced,Data
Huawei,AI Talent Program - Cohort 7 (Part 3),Machine & Deep Learning,"Machine Learning, Deep Learning, React",AI,Beginner,ML
AWS,AWS Developer Path - Cohort 8 (Part 1),Full stack AWS application development,"Python, Web, Cloud",CS,Intermediate,DevOps
AWS,AWS ML Specialty - Cohort 9 (Part 1),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker, Aws, Kubernetes",AI,Advanced,ML
AWS,AWS Data Analytics - Cohort 10 (Part 1),Data analysis at scale on AWS,"Data Analysis, Bi",IS,Beginner,Data
AWS,AWS Cloud Architecture Path - Cohort 11 (Part 3),Design and operate secure cloud infrastructure,"Architecture, Cloud Security, Docker, Machine Learning",Network,Intermediate,Cloud
Huawei,HCIA-Cloud Computing - Cohort 12 (Part 3),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage",Network,Advanced,Cloud
Huawei,HCIP-Cloud Computing - Cohort 13 (Part 1),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery, Aws, React",Network,Beginner,Cloud
Huawei,HCIA-Datacom - Cohort 14 (Part 2),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf, Python, Docker",Network,Intermediate,Networking
Huawei,HCIP-Datacom - Cohort 15 (Part 2),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting, Python",Network,Advanced,Networking
Huawei,HCIA-AI - Cohort 1 (Part 3),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing, Kubernetes",AI,Beginner,ML
Huawei,HCIP-AI-Developer - Cohort 2 (Part 3),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore, Aws, Python",AI,Intermediate,ML
Huawei,Huawei Big Data Developer - Cohort 3 (Part 2),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing, React",IS,Advanced,Data
Huawei,Huawei Data Warehouse and BI - Cohort 4 (Part 1),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql, Docker",IS,Beginner,Data
Huawei,Huawei Cloud DevOps - Cohort 5 (Part 1),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci, Machine Learning",CS,Intermediate,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 6 (Part 3),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices",CS,Advanced,Software
AWS,AWS Academy Cloud Foundations - Cohort 7 (Part 1),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Python",Network,Beginner,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 8 (Part 3),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security, Docker, Kubernetes",Network,Intermediate,Cloud
AWS,AWS Academy Data Engineering - Cohort 9 (Part 3),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines, Python, Kubernetes",IS,Advanced,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 10 (Part 2),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics, Python, Kubernetes",AI,Beginner,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 11 (Part 2),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops",AI,Intermediate,ML
AWS,AWS Academy Cloud Security - Cohort 12 (Part 1),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance, Machine Learning, Python",Network,Advanced,Security
AWS,AWS Developer Building Serverless Applications - Cohort 13 (Part 3),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design, Python",CS,Beginner,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 14 (Part 3),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd",CS,Intermediate,DevOps
Huawei,HCIA-Cloud Computing - Cohort 15 (Part 3),Intro to Huawei Cloud Computing,"Cloud, Virtualization",Network,Advanced,Cloud
Huawei,HCIP-Datacom - Cohort 1 (Part 1),Professional routing & switching,"Routing, Switching",Network,Beginner,Networking
Huawei,Big Data Developer - Cohort 2 (Part 3),Big Data development with Huawei,"Big Data, Etl",IS,Intermediate,Data
Huawei,AI Talent Program - Cohort 3 (Part 3),Machine & Deep Learning,"Machine Learning, Deep Learning, Docker",AI,Advanced,ML
AWS,AWS Developer Path - Cohort 4 (Part 1),Full stack AWS application development,"Python, Web, Cloud, Docker",CS,Beginner,DevOps
AWS,AWS ML Specialty - Cohort 5 (Part 1),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker",AI,Intermediate,ML
AWS,AWS Data Analytics - Cohort 6 (Part 3),Data analysis at scale on AWS,"Data Analysis, Bi, Python",IS,Advanced,Data
AWS,AWS Cloud Architecture Path - Cohort 7 (Part 3),Design and operate secure cloud infrastructure,"Architecture, Cloud Security",Network,Beginner,Cloud
Huawei,HCIA-Cloud Computing - Cohort 8 (Part 3),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage, Docker, React",Network,Intermediate,Cloud
Huawei,HCIP-Cloud Computing - Cohort 9 (Part 1),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery, Kubernetes, Python",Network,Advanced,Cloud
Huawei,HCIA-Datacom - Cohort 10 (Part 1),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf, Docker",Network,Beginner,Networking
Huawei,HCIP-Datacom - Cohort 11 (Part 1),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting",Network,Intermediate,Networking
Huawei,HCIA-AI - Cohort 12 (Part 2),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing",AI,Advanced,ML
Huawei,HCIP-AI-Developer - Cohort 13 (Part 3),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore, Aws",AI,Beginner,ML
Huawei,Huawei Big Data Developer - Cohort 14 (Part 2),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing",IS,Intermediate,Data
Huawei,Huawei Data Warehouse and BI - Cohort 15 (Part 2),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql, React, Machine Learning",IS,Advanced,Data
Huawei,Huawei Cloud DevOps - Cohort 1 (Part 1),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci, Machine Learning",CS,Beginner,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 2 (Part 1),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices, Python",CS,Intermediate,Software
AWS,AWS Academy Cloud Foundations - Cohort 3 (Part 1),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Docker, React",Network,Advanced,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 4 (Part 3),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security, Machine Learning, React",Network,Beginner,Cloud
AWS,AWS Academy Data Engineering - Cohort 5 (Part 1),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines",IS,Intermediate,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 6 (Part 2),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics",AI,Advanced,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 7 (Part 3),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops",AI,Beginner,ML
AWS,AWS Academy Cloud Security - Cohort 8 (Part 3),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance",Network,Intermediate,Security
AWS,AWS Developer Building Serverless Applications - Cohort 9 (Part 3),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design, React",CS,Advanced,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 10 (Part 2),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd, Python",CS,Beginner,DevOps
Huawei,HCIA-Cloud Computing - Cohort 11 (Part 2),Intro to Huawei Cloud Computing,"Cloud, Virtualization, Docker, Machine Learning",Network,Intermediate,Cloud
Huawei,HCIP-Datacom - Cohort 12 (Part 3),Professional routing & switching,"Routing, Switching",Network,Advanced,Networking
Huawei,Big Data Developer - Cohort 13 (Part 1),Big Data development with Huawei,"Big Data, Etl, Docker, Machine Learning",IS,Beginner,Data
Huawei,AI Talent Program - Cohort 14 (Part 2),Machine & Deep Learning,"Machine Learning, Deep Learning",AI,Intermediate,ML
AWS,AWS Developer Path - Cohort 15 (Part 3),Full stack AWS application development,"Python, Web, Cloud, React",CS,Advanced,DevOps
AWS,AWS ML Specialty - Cohort 1 (Part 1),AWS AI/ML Engineer certification track,"Ml, Nlp, Aws Sagemaker, Docker",AI,Beginner,ML
AWS,AWS Data Analytics - Cohort 2 (Part 1),Data analysis at scale on AWS,"Data Analysis, Bi",IS,Intermediate,Data
AWS,AWS Cloud Architecture Path - Cohort 3 (Part 2),Design and operate secure cloud infrastructure,"Architecture, Cloud Security, Aws",Network,Advanced,Cloud
Huawei,HCIA-Cloud Computing - Cohort 4 (Part 2),"Fundamentals of Huawei cloud platforms, virtualization, and resource management.","Cloud Computing, Virtualization, Elastic Compute, Object Storage, React, Python",Network,Beginner,Cloud
Huawei,HCIP-Cloud Computing - Cohort 5 (Part 3),"Advanced Huawei cloud architecture, scaling, and hybrid cloud solutions.","Cloud Architecture, Load Balancing, High Availability, Disaster Recovery",Network,Intermediate,Cloud
Huawei,HCIA-Datacom - Cohort 6 (Part 3),Routing and switching basics for enterprise networks.,"Routing, Switching, Vlan, Ospf",Network,Advanced,Networking
Huawei,HCIP-Datacom - Cohort 7 (Part 2),Professional-level configuration and troubleshooting of data communication networks.,"Bgp, Mpls, Qos, Network Troubleshooting, Aws",Network,Beginner,Networking
Huawei,HCIA-AI - Cohort 8 (Part 2),Introduction to artificial intelligence concepts and Huawei AI solutions.,"Machine Learning, Deep Learning, Python, Data Preprocessing",AI,Intermediate,ML
Huawei,HCIP-AI-Developer - Cohort 9 (Part 1),Developing and deploying AI applications on Huawei platforms.,"Model Training, Model Deployment, Tensorflow, Mindspore, React, Machine Learning",AI,Advanced,ML
Huawei,Huawei Big Data Developer - Cohort 10 (Part 3),"Big data ecosystem, ETL, and analytics on Huawei FusionInsight.","Hadoop, Spark, Etl, Data Warehousing, Machine Learning",IS,Beginner,Data
Huawei,Huawei Data Warehouse and BI - Cohort 11 (Part 1),Designing and implementing data warehouse and BI solutions.,"Data Modeling, Star Schema, Bi Dashboards, Sql, Aws",IS,Intermediate,Data
Huawei,Huawei Cloud DevOps - Cohort 12 (Part 2),CI/CD pipelines and DevOps practices on Huawei Cloud.,"Ci/Cd, Docker, Kubernetes, Gitlab Ci",CS,Advanced,DevOps
Huawei,Huawei Full-Stack Developer - Cohort 13 (Part 3),End-to-end web and API development using Huawei cloud services.,"Rest Apis, Javascript, Spring Boot, Microservices",CS,Beginner,Software
AWS,AWS Academy Cloud Foundations - Cohort 14 (Part 2),Entry-level concepts of AWS global infrastructure and core services.,"Aws Ec2, S3, Iam, Vpc Basics, Docker",Network,Intermediate,Cloud
AWS,AWS Academy Cloud Architecting - Cohort 15 (Part 1),"Designing scalable, fault-tolerant architectures on AWS.","Solution Architecture, Auto Scaling, Rds, Cloud Security, Kubernetes, Machine Learning",Network,Advanced,Cloud
AWS,AWS Academy Data Engineering - Cohort 1 (Part 1),Building data lakes and analytics pipelines on AWS.,"Redshift, Glue, Athena, Data Pipelines",IS,Beginner,Data
AWS,AWS Academy Machine Learning Foundations - Cohort 2 (Part 1),Core machine learning concepts and workflows using AWS services.,"Ml Basics, Sagemaker, Feature Engineering, Evaluation Metrics, Kubernetes, Machine Learning",AI,Intermediate,ML
AWS,AWS Academy Machine Learning for Developers - Cohort 3 (Part 2),End-to-end ML model development and deployment with AWS.,"Model Training, Hyperparameter Tuning, Deployment, Mlops, Aws, Docker",AI,Advanced,ML
AWS,AWS Academy Cloud Security - Cohort 4 (Part 3),Security best practices and identity management on AWS.,"Iam, Kms, Security Groups, Compliance, Docker, Machine Learning",Network,Beginner,Security
AWS,AWS Developer Building Serverless Applications - Cohort 5 (Part 2),Designing and building serverless backends using AWS Lambda.,"Lambda, Api Gateway, Dynamodb, Event-Driven Design",CS,Intermediate,DevOps
AWS,AWS Developer Tools and CI/CD - Cohort 6 (Part 2),"Automating builds, tests, and deployments using AWS developer tools.","Codebuild, Codedeploy, Codepipeline, Ci/Cd",CS,Advanced,DevOps
Huawei,HCIA-Cloud Computing - Cohort 7 (Part 1),Intro to Huawei Cloud Computing,"Cloud, Virtualization",Network,Beginner,Cloud
Huawei,HCIP-Datacom - Cohort 8 (Part 3),Professional routing & switching,"Routing, Switching, React, Python",Network,Intermediate,Networking
Huawei,Big Data Developer - Cohort 9 (Part 1),Big Data development with Huawei,"Big Data, Etl, Aws",IS,Advanced,Data
